Espessura,Angulo,Velocidade ,Raio,Malha,Falha,h_estampage,A_inicial,A_S_parede,A_S_curva,A_S_fundo,A_S_total,L1,L2,L3,E1,E2,E3
0.8,90,150,6,2,0,17,1963.495,1789.513,1173.677,804.248,3767.438,6.19,3.08,0.163,2.095,0.54,-0.9185
0.8,90,150,6,2,0,17,1963.495,1789.513,1173.677,804.248,3767.438,6.17,3.06,0.164,2.085,0.53,-0.918
0.8,90,150,6,2,0,17,1963.495,1789.513,1173.677,804.248,3767.438,6.21,3.1,0.162,2.105,0.55,-0.919
0.8,60,150,4,2,0,16.5,1963.495,2113.978,518.839,331.841,2964.658,3.67,2.44,0.382,0.835,0.22,-0.809
0.8,60,150,4,2,0,16.5,1963.495,2113.978,518.839,331.841,2964.658,3.7,2.42,0.38,0.85,0.21,-0.81
0.8,60,150,4,2,0,16.5,1963.495,2113.978,518.839,331.841,2964.658,3.72,2.39,0.38,0.86,0.195,-0.81
0.8,70,150,4,2,0,17.75,1963.495,2122.528,712.476,470.486,3305.49,4.1,2.78,0.283,1.05,0.39,-0.8585
0.8,70,150,4,2,0,17.75,1963.495,2122.528,712.476,470.486,3305.49,4.08,2.76,0.284,1.04,0.38,-0.858
0.8,70,150,4,2,0,17.75,1963.495,2122.528,712.476,470.486,3305.49,4.12,2.8,0.283,1.06,0.4,-0.8585
0.8,80,150,4,2,0,18.5,1963.495,2098.427,933.64,632.227,3664.294,5.97,2.99,0.175,1.985,0.495,-0.9125
0.8,80,150,4,2,0,18.5,1963.495,2098.427,933.64,632.227,3664.294,5.98,2.97,0.175,1.99,0.485,-0.9125
0.8,80,150,4,2,0,18.5,1963.495,2098.427,933.64,632.227,3664.294,5.99,2.97,0.176,1.995,0.485,-0.912
0.8,90,150,4,2,1,19,1963.495,2342.433,811.142,1017.876,4171.451,0,0,0,0,0,0
0.8,90,150,6,2,0,19,1963.495,2065.973,1173.677,804.248,4043.898,6.8,3.23,0.151,2.4,0.615,-0.9245
0.8,90,150,6,2,0,19,1963.495,2065.973,1173.677,804.248,4043.898,6.82,3.25,0.149,2.41,0.625,-0.9255
0.8,90,150,6,2,0,19,1963.495,2065.973,1173.677,804.248,4043.898,6.79,3.22,0.149,2.395,0.61,-0.9255
